Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788256032,10,,Aggregated,1.000000,0.000000,9700,9900,9900,9900,10000,10000,10000,10000,10000,10000,10000,23,0,9700,8997.478701043925,3836.5314590046182,10262.577166999108,223.08695652173913
1788256033,10,,Aggregated,1.000000,0.000000,9700,9900,9900,9900,10000,10000,10000,10000,10000,10000,10000,23,0,9700,8997.478701043925,3836.5314590046182,10262.577166999108,223.08695652173913
1788256034,10,,Aggregated,1.100000,0.000000,9700,9900,9900,10000,10000,10000,10000,10000,10000,10000,10000,25,0,9700,9058.533123280504,3836.5314590046182,10262.577166999108,223.0
1788256035,10,,Aggregated,1.100000,0.000000,9700,9900,9900,10000,10000,10000,10000,10000,10000,10000,10000,25,0,9700,9058.533123280504,3836.5314590046182,10262.577166999108,223.0
1788256036,10,,Aggregated,1.000000,0.000000,9700,9900,9900,9900,10000,10000,10000,10000,10000,10000,10000,26,0,9600,9074.066108923524,3836.5314590046182,10262.577166999108,222.92307692307693
1788256037,10,,Aggregated,1.100000,0.000000,9800,9900,9900,10000,10000,10000,10000,10000,10000,10000,10000,28,0,9700,9136.613279714895,3836.5314590046182,10262.577166999108,222.82142857142858
1788256038,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,32,0,9800,9263.132390625515,3836.5314590046182,10382.40233399847,223.625
1788256039,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,32,0,9800,9263.132390625515,3836.5314590046182,10382.40233399847,223.625
1788256040,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,32,0,9800,9263.132390625515,3836.5314590046182,10382.40233399847,223.625
1788256041,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,33,0,9800,9271.17498230346,3836.5314590046182,10382.40233399847,223.75757575757575
1788256042,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,33,0,9800,9271.17498230346,3836.5314590046182,10382.40233399847,223.75757575757575
1788256043,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,34,0,9800,9278.797276941452,3836.5314590046182,10382.40233399847,223.64705882352942
1788256044,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,35,0,9800,9298.927447600207,3836.5314590046182,10382.40233399847,223.6
1788256045,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,36,0,9800,9302.949667805782,3836.5314590046182,10382.40233399847,223.5
1788256046,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,36,0,9800,9302.949667805782,3836.5314590046182,10382.40233399847,223.5
1788256047,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,38,0,9800,9336.537201737021,3836.5314590046182,10382.40233399847,223.78947368421052
1788256048,10,,Aggregated,1.100000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,42,0,9800,9393.526956357424,3836.5314590046182,10382.40233399847,223.97619047619048
1788256049,10,,Aggregated,1.100000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,42,0,9800,9393.526956357424,3836.5314590046182,10382.40233399847,223.97619047619048
1788256050,10,,Aggregated,1.100000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,42,0,9800,9393.526956357424,3836.5314590046182,10382.40233399847,223.97619047619048
1788256051,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,43,0,9800,9414.534944767669,3836.5314590046182,10382.40233399847,224.11627906976744
