Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,"/query [retrieval_only, arm=hybrid_rerank]",54,0,9800,9513.824242314984,3836.5314590046182,10411.6369580006,224.24074074074073,0.9265885080612606,0.0,9800,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,Aggregated,54,0,9800,9513.824242314984,3836.5314590046182,10411.6369580006,224.24074074074073,0.9265885080612606,0.0,9800,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
