Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,"/query [retrieval_only, arm=hybrid]",4133,0,140,137.82609315773777,30.918917000235524,217.0675419984036,219.73723687394144,69.92099584135438,0.0,140,150,150,150,160,170,170,180,200,220,220
,Aggregated,4133,0,140,137.82609315773777,30.918917000235524,217.0675419984036,219.73723687394144,69.92099584135438,0.0,140,150,150,150,160,170,170,180,200,220,220
