Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,"/query [retrieval_only, arm=dense]",4797,0,120,118.7406278928341,31.010416998469736,243.99295799958054,220.31165311653118,81.22394185456801,0.0,120,130,130,130,140,140,150,160,230,240,240
,Aggregated,4797,0,120,118.7406278928341,31.010416998469736,243.99295799958054,220.31165311653118,81.22394185456801,0.0,120,130,130,130,140,140,150,160,230,240,240
